Player_Rank,Player_Name,Player_Team,Player_Position,Position_Rank,Dollar_Value1,Dollar_Value2
1,Shohei Ohtani,LAD,DH/SP,DH1,$83,$55
2,Juan Soto,NYM,OF,OF1,$54,$38
3,Aaron Judge,NYY,OF,OF2,$52,$37
4,Jose Ramirez,CLE,3B,3B1,$52,$37
5,Bobby Witt Jr.,KC,SS,SS1,$47,$34
6,Mookie Betts,LAD,SS/OF,SS2,$41,$31
7,Kyle Tucker,CHC,OF,OF4,$41,$30
8,Tarik Skubal,DET,SP,SP2,$41,$30
9,Yordan Alvarez,HOU,OF,OF5,$37,$28
10,Vladimir Guerrero Jr.,TOR,1B,1B1,$34,$27
11,Corbin Carroll,ARI,OF,OF6,$34,$26
12,Zack Wheeler,PHI,SP,SP3,$34,$26
13,Paul Skenes,PIT,SP,SP4,$32,$25
14,Gunnar Henderson,BAL,SS,SS3,$31,$25
15,Logan Gilbert,SEA,SP,SP5,$30,$24
16,Gerrit Cole,NYY,SP,SP6,$30,$24
17,Francisco Lindor,NYM,SS,SS4,$29,$24
18,Dylan Cease,SD,SP,SP7,$28,$23
19,Fernando Tatis Jr.,SD,OF,OF7,$27,$22
20,Ketel Marte,ARI,2B,2B1,$27,$22
21,Rafael Devers,BOS,3B,3B2,$27,$22
22,Freddie Freeman,LAD,1B,1B2,$27,$22
23,Corbin Burnes,ARI,SP,SP8,$26,$22
24,Garrett Crochet,BOS,SP,SP9,$26,$22
25,William Contreras,MIL,C,C1,$26,$22
26,Steven Kwan,CLE,OF,OF8,$26,$21
27,Anthony Santander,TOR,OF,OF9,$25,$21
28,Adley Rutschman,BAL,C,C2,$25,$21
29,Cole Ragans,KC,SP,SP10,$25,$21
30,Emmanuel Clase,CLE,RP,RP1,$25,$21
31,Chris Sale,ATL,SP,SP11,$25,$21
32,Marcus Semien,TEX,2B,2B2,$25,$21
33,Ronald Acuna Jr.,ATL,OF,OF10,$24,$21
34,Luis Arraez,SD,1B/2B,1B3,$24,$21
35,Manny Machado,SD,3B,3B3,$24,$20
36,Devin Williams,NYY,RP,RP2,$24,$20
37,Josh Hader,HOU,RP,RP3,$24,$20
38,Alex Bregman,BOS,3B,3B4,$24,$20
39,Corey Seager,TEX,SS,SS5,$23,$20
40,George Kirby,SEA,SP,SP12,$22,$19
41,Edwin Diaz,NYM,RP,RP4,$22,$19
42,Framber Valdez,HOU,SP,SP13,$21,$19
43,Pablo Lopez,MIN,SP,SP14,$21,$19
44,Blake Snell,LAD,SP,SP15,$21,$18
45,Jackson Chourio,MIL,OF,OF11,$20,$18
46,Bryce Harper,PHI,1B,1B4,$20,$18
47,Jackson Merrill,SD,OF,OF12,$20,$18
48,Ryan Helsley,STL,RP,RP5,$20,$18
49,Jose Altuve,HOU,2B,2B4,$19,$18
50,Trea Turner,PHI,SS,SS6,$19,$18
51,Mason Miller,ATH,RP,RP6,$19,$18
52,Matt Olson,ATL,1B,1B5,$19,$17
53,Will Smith,LAD,C,C3,$18,$17
54,Aaron Nola,PHI,SP,SP16,$18,$17
55,Luis Castillo,SEA,SP,SP17,$18,$17
56,Sonny Gray,STL,SP,SP18,$18,$17
57,Michael King,SD,SP,SP19,$18,$17
58,Raisel Iglesias,ATL,RP,RP7,$17,$17
59,Pete Alonso,NYM,1B,1B6,$17,$16
60,Jarren Duran,BOS,OF,OF13,$16,$16
61,Julio Rodriguez,SEA,OF,OF14,$16,$16
62,Max Fried,NYY,SP,SP20,$16,$16
63,Austin Riley,ATL,3B,3B5,$16,$16
64,Josh Naylor,ARI,1B,1B7,$16,$16
65,Yoshinobu Yamamoto,LAD,SP,SP21,$16,$16
66,Ryan Walker,SF,RP,RP8,$16,$16
67,Elly De La Cruz,CIN,SS,SS7,$16,$16
68,Joe Ryan,MIN,SP,SP22,$16,$16
69,Nolan Arenado,STL,3B,3B6,$16,$15
70,Shota Imanaga,CHC,SP,SP23,$15,$15
71,Yainer Diaz,HOU,C,C4,$15,$15
72,Ozzie Albies,ATL,2B,2B5,$15,$15
73,Wyatt Langford,TEX,OF,OF15,$15,$15
74,Nico Hoerner,CHC,2B,2B6,$15,$15
75,Logan Webb,SF,SP,SP24,$15,$15
76,Alec Bohm,PHI,3B,3B7,$15,$15
77,Brendan Donovan,STL,OF/2B,OF16,$15,$15
78,Bailey Ober,MIN,SP,SP25,$15,$15
79,Ian Happ,CHC,OF,OF17,$14,$15
80,Tyler Glasnow,LAD,SP,SP26,$14,$15
81,Kyle Schwarber,PHI,DH,DH2,$14,$14
82,Felix Bautista,BAL,RP,RP9,$13,$14
83,Andres Munoz,SEA,RP,RP10,$13,$14
84,Vinnie Pasquantino,KC,1B,1B8,$13,$14
85,Freddy Peralta,MIL,SP,SP27,$13,$14
86,Salvador Perez,KC,C/1B,C5,$13,$14
87,Isaac Paredes,HOU,3B,3B8,$12,$14
88,Tanner Bibee,CLE,SP,SP28,$12,$14
89,Spencer Steer,CIN,OF/1B,OF18,$12,$14
90,Justin Steele,CHC,SP,SP29,$12,$14
91,Bryce Miller,SEA,SP,SP30,$12,$13
92,Cal Raleigh,SEA,C,C6,$12,$13
93,Robert Suarez,SD,RP,RP11,$12,$13
94,Zac Gallen,ARI,SP,SP31,$11,$13
95,Michael Harris II,ATL,OF,OF19,$11,$13
96,Bryan Reynolds,PIT,OF,OF20,$11,$13
97,Brandon Nimmo,NYM,OF,OF21,$11,$13
98,Hunter Greene,CIN,SP,SP32,$11,$13
99,Kevin Gausman,TOR,SP,SP33,$10,$13
100,Jhoan Duran,MIN,RP,RP12,$10,$13
101,Cody Bellinger,NYY,OF/1B,OF22,$10,$12
102,Seiya Suzuki,CHC,OF,OF23,$10,$12
103,Keibert Ruiz,WSH,C,C7,$9,$12
104,Jurickson Profar,ATL,OF,OF24,$9,$12
105,Hunter Brown,HOU,SP,SP34,$9,$12
106,Jazz Chisholm Jr.,NYY,OF/3B,OF25,$9,$12
107,Jeff Hoffman,TOR,RP,RP13,$9,$12
108,Jung Hoo Lee,SF,OF,OF26,$9,$11
109,Willy Adames,SF,SS,SS8,$9,$11
110,Brandon Pfaadt,ARI,SP,SP35,$9,$11
111,Marcell Ozuna,ATL,DH,DH3,$8,$11
112,Jacob deGrom,TEX,SP,SP36,$8,$11
113,Christian Walker,HOU,1B,1B12,$8,$11
114,Brent Rooker,ATH,DH,DH4,$8,$11
115,Spencer Schwellenbach,ATL,SP,SP37,$7,$11
116,Carlos Rodon,NYY,SP,SP38,$7,$11
117,Yusei Kikuchi,LAA,SP,SP39,$7,$10
118,CJ Abrams,WSH,SS,SS9,$7,$10
119,Gleyber Torres,DET,2B,2B8,$6,$10
120,Christian Yelich,MIL,OF,OF27,$6,$10
121,Grayson Rodriguez,BAL,SP,SP40,$6,$10
122,Ryan Pressly,CHC,RP,RP14,$6,$10
123,Jack Flaherty,DET,SP,SP41,$6,$10
124,Junior Caminero,TB,3B,3B10,$6,$10
125,Xander Bogaerts,SD,2B/SS,2B9,$6,$10
126,Willson Contreras,STL,C,C8,$6,$10
127,Riley Greene,DET,OF,OF28,$6,$10
128,Yandy Diaz,TB,1B,1B13,$5,$10
129,Teoscar Hernandez,LAD,OF,OF29,$5,$10
130,Bowden Francis,TOR,RP/SP,RP15,$5,$10
131,Bryson Stott,PHI,2B,2B10,$5,$9
132,Carlos Correa,MIN,SS,SS11,$5,$9
133,Masyn Winn,STL,SS,SS12,$5,$9
134,Alexis Diaz,CIN,RP,RP16,$5,$9
135,Andres Gimenez,TOR,2B,2B11,$5,$9
136,James Wood,WSH,OF,OF30,$5,$9
137,Jake Cronenworth,SD,1B/2B,1B14,$5,$9
138,David Bednar,PIT,RP,RP17,$5,$9
139,Randy Arozarena,SEA,OF,OF31,$5,$9
140,George Springer,TOR,OF,OF32,$5,$9
141,Matt Chapman,SF,3B,3B11,$5,$9
142,Lourdes Gurriel Jr.,ARI,OF,OF33,$5,$9
143,Alec Burleson,STL,OF,OF34,$4,$9
144,Roki Sasaki,LAD,SP,SP43,$4,$9
145,Maikel Garcia,KC,3B/2B,3B12,$4,$9
146,Jonathan India,KC,2B,2B14,$4,$9
147,Tyler Stephenson,CIN,C,C9,$4,$9
148,Tanner Scott,LAD,RP,RP18,$4,$9
149,Gabriel Moreno,ARI,C,C10,$4,$9
150,Kodai Senga,NYM,SP,SP44,$4,$9
151,Lawrence Butler,ATH,OF,OF35,$4,$9
152,Justin Martinez,ARI,RP,RP19,$4,$9
153,Taylor Ward,LAA,OF,OF36,$4,$8
154,Alejandro Kirk,TOR,C,C11,$4,$8
155,Tommy Edman,LAD,OF/SS,OF37,$4,$8
156,Oneil Cruz,PIT,SS/OF,SS14,$3,$8
157,Jeremy Pena,HOU,SS,SS15,$3,$8
158,Nick Castellanos,PHI,OF,OF39,$3,$8
159,Luis Garcia Jr.,WSH,2B,2B15,$3,$8
160,Jared Jones,PIT,SP,SP45,$3,$8
161,Adolis Garcia,TEX,OF,OF40,$3,$8
162,Sean Manaea,NYM,SP,SP46,$3,$8
163,Bo Bichette,TOR,SS,SS16,$2,$8
164,Mitch Keller,PIT,SP,SP47,$2,$8
165,Nick Pivetta,SD,SP,SP48,$2,$8
166,Tanner Houck,BOS,SP,SP49,$2,$8
167,Matt McLain,CIN,SS/2B,SS17,$2,$8
168,Jose Berrios,TOR,SP,SP50,$2,$7
169,Taj Bradley,TB,SP,SP51,$2,$7
170,Spencer Horwitz,PIT,1B/2B,1B15,$2,$7
171,JJ Bleday,ATH,OF,OF41,$2,$7
172,Cedric Mullins,BAL,OF,OF42,$2,$7
173,Luis Gil,NYY,SP,SP52,$2,$7
174,Trevor Megill,MIL,RP,RP20,$2,$7
175,Max Muncy,LAD,3B,3B13,$1,$7
176,Reynaldo Lopez,ATL,SP,SP53,$1,$7
177,Seth Lugo,KC,SP,SP54,$1,$7
178,Francisco Alvarez,NYM,C,C12,$1,$7
179,Cristopher Sanchez,PHI,SP,SP55,$1,$7
180,Lucas Erceg,KC,RP,RP21,$1,$7
181,Jake Burger,TEX,1B/3B,1B16,$1,$7
182,Triston Casas,BOS,1B,1B17,$1,$7
183,Lars Nootbaar,STL,OF,OF43,$1,$7
184,Mike Trout,LAA,OF,OF44,$1,$7
185,Nestor Cortes,MIL,SP,SP56,$1,$7
186,Bryan Woo,SEA,SP,SP57,$1,$7
187,Nick Martinez,CIN,RP/SP,RP22,$1,$7
188,Dansby Swanson,CHC,SS,SS18,$1,$7
189,Zach Eflin,BAL,SP,SP59,$1,$7
190,Dylan Crews,WSH,OF,OF45,$1,$7
191,Shea Langeliers,ATH,C,C13,$0,$6
192,Jake McCarthy,ARI,OF,OF46,$0,$6
193,Brenton Doyle,COL,OF,OF47,$0,$6
194,MacKenzie Gore,WSH,SP,SP60,$0,$6
195,Nathaniel Lowe,WSH,1B,1B18,$0,$6
196,Andrew Benintendi,CWS,OF,OF48,$0,$6
197,Chris Bassitt,TOR,SP,SP61,$0,$6
198,Brice Turang,MIL,2B,2B18,$0,$6
199,Royce Lewis,MIN,3B,3B15,$0,$6
200,Jordan Westburg,BAL,3B/2B,3B16,$0,$6
201,Spencer Strider,ATL,SP,SP62,$0,$6
202,Alex Verdugo,FA,OF,OF49,$0,$5
203,Ryan Pepiot,TB,SP,SP63,$0,$5
204,J.T. Realmuto,PHI,C,C14,$0,$5
205,Sal Frelick,MIL,OF,OF50,$0,$5
206,Eugenio Suarez,ARI,3B,3B17,$0,$5
207,Brandon Woodruff,MIL,SP,SP64,$0,$5
208,Joey Ortiz,MIL,3B,3B18,$0,$5
209,Logan O'Hoppe,LAA,C,C15,$0,$5
210,Ryan Jeffers,MIN,C,C16,$0,$5
211,Christopher Morel,TB,3B/2B,3B19,$0,$5
212,Nathan Eovaldi,TEX,SP,SP65,$0,$5
213,Austin Wells,NYY,C,C17,$0,$5
214,Lane Thomas,CLE,OF,OF51,$0,$5
215,Pete Fairbanks,TB,RP,RP23,$0,$5
216,Sean Murphy,ATL,C,C18,$0,$5
217,TJ Friedl,CIN,OF,OF52,$0,$5
218,A.J. Puk,ARI,RP,RP24,$0,$5
219,Griffin Jax,MIN,RP,RP25,$0,$5
220,Heliot Ramos,SF,OF,OF53,$0,$5
221,Jason Adam,SD,RP,RP26,$0,$5
222,Ronel Blanco,HOU,SP,SP66,$0,$5
223,Parker Meadows,DET,OF,OF54,$0,$5
224,Colt Keith,DET,2B,2B21,$0,$5
225,Kerry Carpenter,DET,OF,OF55,$0,$5
226,Nolan Schanuel,LAA,1B,1B19,$0,$4
227,Michael Wacha,KC,SP,SP67,$0,$4
228,Jonah Heim,TEX,C,C19,$0,$4
229,Luke Weaver,NYY,RP,RP27,$0,$4
230,Jorge Soler,LAA,OF,OF56,$0,$4
231,Luis Rengifo,LAA,3B/2B,3B20,$0,$4
232,Jackson Holliday,BAL,2B,2B23,$0,$4
233,Anthony Volpe,NYY,SS,SS19,$0,$4
234,Carlos Santana,CLE,1B,1B20,$0,$4
235,Aroldis Chapman,BOS,RP,RP28,$0,$4
236,Xavier Edwards,MIA,SS,SS20,$0,$4
237,Mark Vientos,NYM,3B,3B21,$0,$4
238,Ranger Suarez,PHI,SP,SP68,$0,$4
239,Connor Norby,MIA,3B/2B,3B22,$0,$4
240,Colton Cowser,BAL,OF,OF57,$0,$4
241,Ezequiel Tovar,COL,SS,SS21,$0,$4
242,Andrew Vaughn,CWS,1B,1B21,$0,$4
243,Zach Neto,LAA,SS,SS22,$0,$4
244,Shane McClanahan,TB,SP,SP69,$0,$4
245,Shane Baz,TB,SP,SP70,$0,$4
246,Pete Crow-Armstrong,CHC,OF,OF58,$0,$4
247,Willi Castro,MIN,SS/2B/3B/OF,SS23,$0,$3
248,Wilyer Abreu,BOS,OF,OF60,$0,$3
249,Paul Goldschmidt,NYY,1B,1B22,$0,$3
250,Ivan Herrera,STL,C,C20,$0,$3
251,Erick Fedde,STL,SP,SP71,$0,$3
252,Jesus Sanchez,MIA,OF,OF61,$0,$3
253,Ha-Seong Kim,TB,SS,SS24,$0,$3
254,Luis Robert Jr.,CWS,OF,OF62,$0,$3
255,Kirby Yates,LAD,RP,RP29,$0,$3
256,Carlos Estevez,KC,RP,RP30,$0,$3
257,Clarke Schmidt,NYY,SP,SP72,$0,$3
258,Jose Miranda,MIN,3B,3B24,$0,$3
259,Brady Singer,CIN,SP,SP73,$0,$3
260,Bryan Abreu,HOU,RP,RP31,$0,$3
261,Luis Severino,ATH,SP,SP74,$0,$3
262,Jesse Winker,NYM,OF,OF63,$0,$3
263,Michael Busch,CHC,1B,1B23,$0,$2
264,Cade Smith,CLE,RP,RP32,$0,$2
265,Jasson Dominguez,NYY,OF,OF64,$0,$2
266,Jeff McNeil,NYM,2B,2B26,$0,$2
267,Brayan Bello,BOS,SP,SP75,$0,$2
268,Aaron Civale,MIL,SP,SP76,$0,$2
269,Ryan O'Hearn,BAL,1B,1B24,$0,$2
270,J.P. Crawford,SEA,SS,SS25,$0,$2
271,Liam Hendriks,BOS,RP,RP33,$0,$2
272,Connor Wong,BOS,C,C21,$0,$2
273,Matthew Shaw,CHC,3B/2B/SS,3B25,$0,$2
274,Joc Pederson,TEX,DH,DH5,$0,$2
275,Daulton Varsho,TOR,OF,OF65,$0,$2
276,Nick Gonzales,PIT,2B,2B28,$0,$2
277,Robbie Ray,SF,SP,SP77,$0,$2
278,Josh Jung,TEX,3B,3B26,$0,$2
279,Ryan McMahon,COL,3B,3B27,$0,$2
280,Brandon Lowe,TB,2B,2B29,$0,$2
281,Porter Hodge,CHC,RP,RP34,$0,$2
282,Thairo Estrada,COL,2B,2B30,$0,$1
283,Jason Foley,DET,RP,RP35,$0,$1
284,Michael Kopech,LAD,RP,RP36,$0,$1
285,Matt Vierling,DET,OF/3B,OF66,$0,$1
286,Merrill Kelly,ARI,SP,SP78,$0,$1
287,Jacob Wilson,ATH,SS,SS27,$0,$1
288,Tyler O'Neill,BAL,OF,OF67,$0,$1
289,Charlie Morton,BAL,SP,SP79,$0,$1
290,Tyler Holton,DET,RP/SP,RP37,$0,$1
291,Ceddanne Rafaela,BOS,OF/SS,OF68,$0,$1
292,Bo Naylor,CLE,C,C22,$0,$1
293,Josh Lowe,TB,OF,OF69,$0,$1
294,Matthew Boyd,CHC,SP,SP81,$0,$1
295,Jeimer Candelario,CIN,3B/1B,3B29,$0,$1
296,Ke'Bryan Hayes,PIT,3B,3B30,$0,$1
297,Kenley Jansen,LAA,RP,RP38,$0,$1
298,Sandy Alcantara,MIA,SP,SP82,$0,$1
299,Spencer Arrighetti,HOU,SP,SP83,$0,$1
300,Jordan Walker,STL,OF,OF70,$0,$1